Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
ln_53037_8_3,erker_v15ib,,dropdown,6.2.6I Klinische Signifikanz [ACMG],"ln_LA6668-3, Krankheitserregend | ln_LA26332-9, Wahrscheinlich krankheitserregend | ln_LA26333-7, Ungewisse Bedeutung | ln_LA26334-5, Wahrscheinlich gutartig | ln_LA6675-8, Gutartig | sct_1220561009, nicht erfasst",,,,,,"[sct_55446002_str_2]  <> """"",,,,,,"Variabe:
LOINC: 53037-8 | Genetic variation clinical significance [Imp] |
+ ""_3"" | third clinically relevant variant |
Choices:
LOINC: LA6668-3, LA26332-9, LA26333-7, ln_LA26334-5, LA6675-8
SCT: 1220561009 | Not recorded (qualifier value) |"
ln_93044_6_3,erker_v15ib,,dropdown,6.2.6J Clinical Annotation Level Of Evidence,"ln_LA30200-2, Sehr starke Hinweise auf Pathogenität | ln_LA30201-0, Starker Hinweis auf Pathogenität | ln_LA30202-8, Mäßiger Hinweis auf Pathogenität | ln_LA30203-6, Unterstützende Hinweise auf Pathogenität | ln_LA30204-4, Unterstützende Beweise gutartig | ln_LA30205-1, Starker Hinweis auf Gutartigkeit | ln_LA30206-9, Eigenständiger Nachweis pathogen | ln_LA30207-7, Einzelnachweis gutartig | ln_LA26333-7, Ungewisse Bedeutung | sct_1220561009, nicht erfasst",,,,,,"[sct_55446002_str_2]  <> """"",,,,,,"Variable:
LOINC: 93044-6 | Level of evidence | 
+ ""_3"" | third clinically relevant variant |
Choices:
LOINC: LA30200-2, LA30201-0, LA30202-8, LA30203-6, LA30204-4, LA30205-1, LA30206-9, LA30207-7, LA26333-7
SCT: 1220561009 | Not recorded (qualifier value) |"
sct_64195000_other,erker_v15ib,,dropdown,6.2.7 weitere genetische Varianten? ,"sct_373066001, Ja | sct_373067005, Nein | sct_1220561009, nicht erfasst",,,,,,,,,,,,"Variable:
SCT: 64195000 | Genetic variation (finding) |: 410657003 | Type (attribute) | = 74964007 | Other (qualifier value)
Choices: 
SCT: 373066001 | Yes (qualifier value) |
SCT: 373067005 | No (qualifier value) |
SCT: 1220561009 | Not recorded (qualifier value) |"
ln_62374_4_4,erker_v15ib,6.2.7 Genetische (Neben-)Varianten,dropdown,6.2.7.1A Referenzgenom,"ln_LA14032-9, NCBI Build 34 (hg16) | ln_LA14029-5, GRCh37 (hg19) | ln_LA14030-3, NCBI Build 36.1 (hg18) | ln_LA14031-1, NCBI Build 35 (hg17) | ln_LA26806-2, GRCh38 (hg38) | sct_1220561009, nicht erfasst",,,,,,"[sct_64195000_other] = ""sct_373066001""",,,,,,"Variable:
LOINC: 62374-4 | Human reference sequence assembly version | 
+ ""_4"" | first additional genetic variant |
Choices:
LOINC: LA14032-9, LA14029-5, LA14030-3, LA14031-1, LA26806-2
SCT: 1220561009 | Not recorded (qualifier value) |"
sct_55446002_str_4,erker_v15ib,,text,6.2.7.1B Genetische (Neben-)Varianten [HGVS Freitext],,"unvalidierter Freitextunvalidierter Freitext, z.B. ""V166I"", ""V103I""",,,,,"[sct_64195000_other] = ""sct_373066001""",,,,,,"Variable:
SCT: 55446002 | Genetic mutation (finding) | : 410657003 | Type (attribute) | = 900000000000465000 | String (foundation metadata concept) |
+ ""_4"" | first additional genetic variant |"
ln_81290_9_4,erker_v15ib,,text,6.2.7.1C Genetische (Neben-)Varianten [g.HGVS],,HGVS validierter Genomic DNA change (gHGVS),,,,,"[sct_64195000_other] = ""sct_373066001""",,,,,,"Variable:
LOINC: 81290-9 | Genomic DNA change (gHGVS) | 
+ ""_4"" | first additional genetic variant |"
ln_48004_6_4,erker_v15ib,,text,6.2.7.1D Genetische (Neben-)Varianten [c.HGVS],,HGVS validierter DNA change (c.HGVS),,,,,"[sct_64195000_other] = ""sct_373066001""",,,,,,"Variable:
LOINC: 48004-6 | DNA change (c.HGVS) | 
+ ""_4"" | first additional genetic variant |"
ln_48005_3_4,erker_v15ib,,text,6.2.7.1E Genetische (Neben-)Varianten [p.HGVS],,HGVS validierter Genomic DNA change (gHGVS),,,,,"[sct_64195000_other] = ""sct_373066001""",,,,,,"Variable:
LOINC: 48005-3 | Amino acid change (pHGVS) | 
+ ""_4"" | first additional genetic variant |"
ln_47999_8_4,erker_v15ib,,text,6.2.7.1F Genetische (Neben-)Varianten [HGNC-Code],BIOPORTAL:HGNC-NR,,,,,,"[sct_64195000_other] = ""sct_373066001""",,,,,,"Variable:
LOINC: 48018-6 | Gene studied [ID] | 
+ ""_4"" | first additional genetic variant |"
ln_62374_4_5,erker_v15ib,,dropdown,6.2.7.2A Referenzgenom,"ln_LA14032-9, NCBI Build 34 (hg16) | ln_LA14029-5, GRCh37 (hg19) | ln_LA14030-3, NCBI Build 36.1 (hg18) | ln_LA14031-1, NCBI Build 35 (hg17) | ln_LA26806-2, GRCh38 (hg38) | sct_1220561009, nicht erfasst",,,,,,"[sct_55446002_str_4]  <> """"",,,,,,"Variable:
LOINC: 62374-4 | Human reference sequence assembly version | 
+ ""_5"" | second additional genetic variant |
Choices:
LOINC: LA14032-9, LA14029-5, LA14030-3, LA14031-1, LA26806-2
SCT: 1220561009 | Not recorded (qualifier value) |"
sct_55446002_str_5,erker_v15ib,,text,6.2.7.2B Genetische (Neben-)Varianten [HGVS Freitext],,"unvalidierter Freitextunvalidierter Freitext, z.B. ""V166I"", ""V103I""",,,,,"[sct_55446002_str_4]  <> """"",,,,,,"Variable:
SCT: 55446002 | Genetic mutation (finding) | : 410657003 | Type (attribute) | = 900000000000465000 | String (foundation metadata concept) |
+ ""_5"" | second additional genetic variant |"
ln_81290_9_5,erker_v15ib,,text,6.2.7.2C Genetische (Neben-)Varianten [g.HGVS],,HGVS validierter Genomic DNA change (gHGVS),,,,,"[sct_55446002_str_4]  <> """"",,,,,,"Variable:
LOINC: 81290-9 | Genomic DNA change (gHGVS) | 
+ ""_5"" | second additional genetic variant |"
ln_48004_6_5,erker_v15ib,,text,6.2.7.2D Genetische (Neben-)Varianten [c.HGVS],,HGVS validierter DNA change (c.HGVS),,,,,"[sct_55446002_str_4]  <> """"",,,,,,"Variable:
LOINC: 48004-6 | DNA change (c.HGVS) | 
+ ""_5"" | second additional genetic variant |"
ln_48005_3_5,erker_v15ib,,text,6.2.7.2E Genetische (Neben-)Varianten [p.HGVS],,HGVS validierter Genomic DNA change (gHGVS),,,,,"[sct_55446002_str_4]  <> """"",,,,,,"Variable:
LOINC: 48005-3 | Amino acid change (pHGVS) | 
+ ""_5"" | second additional genetic variant |"
ln_47999_8_5,erker_v15ib,,text,6.2.7.2F Genetische (Neben-)Varianten [HGNC-Code],BIOPORTAL:HGNC-NR,,,,,,"[sct_55446002_str_4]  <> """"",,,,,,"Variable:
LOINC: 48018-6 | Gene studied [ID] | 
+ ""_5"" | second additional genetic variant |"
ln_62374_4_6,erker_v15ib,,dropdown,6.2.7.3A Referenzgenom,"ln_LA14032-9, NCBI Build 34 (hg16) | ln_LA14029-5, GRCh37 (hg19) | ln_LA14030-3, NCBI Build 36.1 (hg18) | ln_LA14031-1, NCBI Build 35 (hg17) | ln_LA26806-2, GRCh38 (hg38) | sct_1220561009, nicht erfasst",,,,,,"[sct_55446002_str_5]  <> """"",,,,,,"Variable:
LOINC: 62374-4 | Human reference sequence assembly version | 
+ ""_6"" | third additional genetic variant |
Choices:
LOINC: LA14032-9, LA14029-5, LA14030-3, LA14031-1, LA26806-2
SCT: 1220561009 | Not recorded (qualifier value) |"
sct_55446002_str_6,erker_v15ib,,text,6.2.7.3B Genetische (Neben-)Varianten [HGVS Freitext],,"unvalidierter Freitextunvalidierter Freitext, z.B. ""V166I"", ""V103I""",,,,,"[sct_55446002_str_5]  <> """"",,,,,,"Variable:
SCT: 55446002 | Genetic mutation (finding) | : 410657003 | Type (attribute) | = 900000000000465000 | String (foundation metadata concept) |
+ ""_6"" | third additional genetic variant |"
ln_81290_9_6,erker_v15ib,,text,6.2.7.3C Genetische (Neben-)Varianten [g.HGVS],,HGVS validierter Genomic DNA change (gHGVS),,,,,"[sct_55446002_str_5]  <> """"",,,,,,"Variable:
LOINC: 81290-9 | Genomic DNA change (gHGVS) | 
+ ""_6"" | third additional genetic variant |"
ln_48004_6_6,erker_v15ib,,text,6.2.7.3D Genetische (Neben-)Varianten [c.HGVS],,HGVS validierter DNA change (c.HGVS),,,,,"[sct_55446002_str_5]  <> """"",,,,,,"Variable:
LOINC: 48004-6 | DNA change (c.HGVS) | 
+ ""_6"" | third additional genetic variant |"
ln_48005_3_6,erker_v15ib,,text,6.2.7.3E Genetische (Neben-)Varianten [p.HGVS],,HGVS validierter Genomic DNA change (gHGVS),,,,,"[sct_55446002_str_5]  <> """"",,,,,,"Variable:
LOINC: 48005-3 | Amino acid change (pHGVS) | 
+ ""_6"" | third additional genetic variant |"
ln_47999_8_6,erker_v15ib,,text,6.2.7.3F Genetische (Neben-)Varianten [HGNC-Code],BIOPORTAL:HGNC-NR,,,,,,"[sct_55446002_str_5]  <> """"",,,,,,"Variable:
LOINC: 48018-6 | Gene studied [ID] | 
+ ""_6"" | third additional genetic variant |"
ln_62374_4_7,erker_v15ib,,dropdown,6.2.7.4A Referenzgenom,"ln_LA14032-9, NCBI Build 34 (hg16) | ln_LA14029-5, GRCh37 (hg19) | ln_LA14030-3, NCBI Build 36.1 (hg18) | ln_LA14031-1, NCBI Build 35 (hg17) | ln_LA26806-2, GRCh38 (hg38) | sct_1220561009, nicht erfasst",,,,,,"[sct_55446002_str_6]  <> """"",,,,,,"Variable:
LOINC: 62374-4 | Human reference sequence assembly version | 
+ ""_7"" | fourth additional genetic variant |
Choices:
LOINC: LA14032-9, LA14029-5, LA14030-3, LA14031-1, LA26806-2
SCT: 1220561009 | Not recorded (qualifier value) |"
sct_55446002_str_7,erker_v15ib,,text,6.2.7.4B Genetische (Neben-)Varianten [HGVS Freitext],,"unvalidierter Freitextunvalidierter Freitext, z.B. ""V166I"", ""V103I""",,,,,"[sct_55446002_str_6]  <> """"",,,,,,"Variable:
SCT: 55446002 | Genetic mutation (finding) | : 410657003 | Type (attribute) | = 900000000000465000 | String (foundation metadata concept) |
+ ""_7"" | fourth additional genetic variant |"
ln_81290_9_7,erker_v15ib,,text,6.2.7.4C Genetische (Neben-)Varianten [g.HGVS],,HGVS validierter Genomic DNA change (gHGVS),,,,,"[sct_55446002_str_6]  <> """"",,,,,,"Variable:
LOINC: 81290-9 | Genomic DNA change (gHGVS) | 
+ ""_7"" | fourth additional genetic variant |"
ln_48004_6_7,erker_v15ib,,text,6.2.7.4D Genetische (Neben-)Varianten [c.HGVS],,HGVS validierter DNA change (c.HGVS),,,,,"[sct_55446002_str_6]  <> """"",,,,,,"Variable:
LOINC: 48004-6 | DNA change (c.HGVS) | 
+ ""_7"" | fourth additional genetic variant |"
ln_48005_3_7,erker_v15ib,,text,6.2.7.4E Genetische (Neben-)Varianten [p.HGVS],,HGVS validierter Genomic DNA change (gHGVS),,,,,"[sct_55446002_str_6]  <> """"",,,,,,"Variable:
LOINC: 48005-3 | Amino acid change (pHGVS) | 
+ ""_7"" | fourth additional genetic variant |"
ln_47999_8_7,erker_v15ib,,text,6.2.7.4F Genetische (Neben-)Varianten [HGNC-Code],BIOPORTAL:HGNC-NR,,,,,,"[sct_55446002_str_6]  <> """"",,,,,,"Variable:
LOINC: 48018-6 | Gene studied [ID] | 
+ ""_7"" | fourth additional genetic variant |"
ln_62374_4_8,erker_v15ib,,dropdown,6.2.7.5A Referenzgenom,"ln_LA14032-9, NCBI Build 34 (hg16) | ln_LA14029-5, GRCh37 (hg19) | ln_LA14030-3, NCBI Build 36.1 (hg18) | ln_LA14031-1, NCBI Build 35 (hg17) | ln_LA26806-2, GRCh38 (hg38) | sct_1220561009, nicht erfasst",,,,,,"[sct_55446002_str_7]  <> """"",,,,,,"Variable:
LOINC: 62374-4 | Human reference sequence assembly version | 
+ ""_8"" | fifth additional genetic variant |
Choices:
LOINC: LA14032-9, LA14029-5, LA14030-3, LA14031-1, LA26806-2
SCT: 1220561009 | Not recorded (qualifier value) |"
sct_55446002_str_8,erker_v15ib,,text,6.2.7.5B Genetische (Neben-)Varianten [HGVS Freitext],,"unvalidierter Freitextunvalidierter Freitext, z.B. ""V166I"", ""V103I""",,,,,"[sct_55446002_str_7]  <> """"",,,,,,"Variable:
SCT: 55446002 | Genetic mutation (finding) | : 410657003 | Type (attribute) | = 900000000000465000 | String (foundation metadata concept) |
+ ""_8"" | fifth additional genetic variant |"
ln_81290_9_8,erker_v15ib,,text,6.2.7.5C Genetische (Neben-)Varianten [g.HGVS],,HGVS validierter Genomic DNA change (gHGVS),,,,,"[sct_55446002_str_7]  <> """"",,,,,,"Variable:
LOINC: 81290-9 | Genomic DNA change (gHGVS) | 
+ ""_8"" | fifth additional genetic variant |"
ln_48004_6_8,erker_v15ib,,text,6.2.7.5D Genetische (Neben-)Varianten [c.HGVS],,HGVS validierter DNA change (c.HGVS),,,,,"[sct_55446002_str_7]  <> """"",,,,,,"Variable:
LOINC: 48004-6 | DNA change (c.HGVS) | 
+ ""_8"" | fifth additional genetic variant |"
ln_48005_3_8,erker_v15ib,,text,6.2.7.5E Genetische (Neben-)Varianten [p.HGVS],,HGVS validierter Genomic DNA change (gHGVS),,,,,"[sct_55446002_str_7]  <> """"",,,,,,"Variable:
LOINC: 48005-3 | Amino acid change (pHGVS) | 
+ ""_8"" | fifth additional genetic variant |"
ln_47999_8_8,erker_v15ib,,text,6.2.7.5F Genetische (Neben-)Varianten [HGNC-Code],BIOPORTAL:HGNC-NR,,,,,,"[sct_55446002_str_7]  <> """"",,,,,,"Variable:
LOINC: 48018-6 | Gene studied [ID] | 
+ ""_8"" | fifth additional genetic variant |"
sct_85097005_1_orpha,erker_v15ib,6.3 Nebendiagnosen,text,6.3.1A Sekundärdiagnose [ORPHA],BIOPORTAL:ORDO,,,,,,,,,,,,"Variable:
SCT: 439401001 | Diagnosis (observable entity) | : 410657003 | Type (attribute) | = 85097005 | Secondary diagnosis (contextual qualifier) (qualifier value) |, 278201002 | Classification (attribute) | = 784008009 | SNOMED CT to Orphanet simple map reference set (foundation metadata concept) |
+ ""_1"" | first secondary diagnosis"
sct_85097005_1_icd10gm,erker_v15ib,,text,6.3.1B Sekundärdiagnose [ICD10-GM],,"Bitte nur ICD-10GM Code (ohne Anführungszeichen) angeben, z.B.: ""E66.8""",,,,,,,,,,,"Variable:
SCT: 439401001 | Diagnosis (observable entity) | : 410657003 | Type (attribute) | = 85097005 | Secondary diagnosis (contextual qualifier) (qualifier value) |, 278201002 | Classification (attribute) | = 447562003 | SNOMED CT to International Classification of Diseases tenth revision extended map reference set (foundation metadata concept) |
+ ""_1"" | first secondary diagnosis"
sct_85097005_1_date,erker_v15ib,,text,6.3.1C Sekundärdiagnose - Feststellungsdatum,,,date_ymd,,,,,,,,,,"Variable:
SCT: 439401001 | Diagnosis (observable entity) | : 410657003 | Type (attribute) | = 85097005 | Secondary diagnosis (contextual qualifier) (qualifier value) |, 410671006 | Date (attribute) | = 69836002 | Determinate (qualifier value) |
+ ""_1"" | first secondary diagnosis"
sct_85097005_2_orpha,erker_v15ib,,text,6.3.2A Sekundärdiagnose [ORPHA],BIOPORTAL:ORDO,,,,,,"[sct_85097005_1_icd10gm] <> """"",,,,,,"Variable:
SCT: 439401001 | Diagnosis (observable entity) | : 410657003 | Type (attribute) | = 85097005 | Secondary diagnosis (contextual qualifier) (qualifier value) |, 278201002 | Classification (attribute) | = 784008009 | SNOMED CT to Orphanet simple map reference set (foundation metadata concept) |
+ ""_2"" | second secondary diagnosis"
sct_85097005_2_icd10gm,erker_v15ib,,text,6.3.2B Sekundärdiagnose [ICD10-GM],,"Bitte nur ICD-10GM Code (ohne Anführungszeichen) angeben, z.B.: ""E66.8""",,,,,"[sct_85097005_1_icd10gm] <> """"",,,,,,"Variable:
SCT: 439401001 | Diagnosis (observable entity) | : 410657003 | Type (attribute) | = 85097005 | Secondary diagnosis (contextual qualifier) (qualifier value) |, 278201002 | Classification (attribute) | = 447562003 | SNOMED CT to International Classification of Diseases tenth revision extended map reference set (foundation metadata concept) |
+ ""_2"" | second secondary diagnosis"
sct_85097005_2_date,erker_v15ib,,text,6.3.2C Sekundärdiagnose - Feststellungsdatum,,,date_ymd,,,,"[sct_85097005_1_icd10gm] <> """"",,,,,,"Variable:
SCT: 439401001 | Diagnosis (observable entity) | : 410657003 | Type (attribute) | = 85097005 | Secondary diagnosis (contextual qualifier) (qualifier value) |, 410671006 | Date (attribute) | = 69836002 | Determinate (qualifier value) |
+ ""_2"" | second secondary diagnosis"
sct_85097005_3_orpha,erker_v15ib,,text,6.3.3A Sekundärdiagnose [ORPHA],BIOPORTAL:ORDO,,,,,,"[sct_85097005_2_icd10gm] <> """"",,,,,,"Variable:
SCT: 439401001 | Diagnosis (observable entity) | : 410657003 | Type (attribute) | = 85097005 | Secondary diagnosis (contextual qualifier) (qualifier value) |, 278201002 | Classification (attribute) | = 784008009 | SNOMED CT to Orphanet simple map reference set (foundation metadata concept) |
+ ""_3"" | third secondary diagnosis"
sct_85097005_3_icd10gm,erker_v15ib,,text,6.3.3B Sekundärdiagnose [ICD10-GM],,"Bitte nur ICD-10GM Code (ohne Anführungszeichen) angeben, z.B.: ""E66.8""",,,,,"[sct_85097005_2_icd10gm] <> """"",,,,,,"Variable:
SCT: 439401001 | Diagnosis (observable entity) | : 410657003 | Type (attribute) | = 85097005 | Secondary diagnosis (contextual qualifier) (qualifier value) |, 278201002 | Classification (attribute) | = 447562003 | SNOMED CT to International Classification of Diseases tenth revision extended map reference set (foundation metadata concept) |
+ ""_3"" | third secondary diagnosis"
sct_85097005_3_date,erker_v15ib,,text,6.3.3C Sekundärdiagnose - Feststellungsdatum,,,date_ymd,,,,"[sct_85097005_2_icd10gm] <> """"",,,,,,"Variable:
SCT: 439401001 | Diagnosis (observable entity) | : 410657003 | Type (attribute) | = 85097005 | Secondary diagnosis (contextual qualifier) (qualifier value) |, 410671006 | Date (attribute) | = 69836002 | Determinate (qualifier value) |
+ ""_3"" | third secondary diagnosis"
sct_85097005_4_orpha,erker_v15ib,,text,6.3.4A Sekundärdiagnose [ORPHA],BIOPORTAL:ORDO,,,,,,"[sct_85097005_3_icd10gm] <> """"",,,,,,"Variable:
SCT: 439401001 | Diagnosis (observable entity) | : 410657003 | Type (attribute) | = 85097005 | Secondary diagnosis (contextual qualifier) (qualifier value) |, 278201002 | Classification (attribute) | = 784008009 | SNOMED CT to Orphanet simple map reference set (foundation metadata concept) |
+ ""_4"" | fourth secondary diagnosis"
sct_85097005_4_icd10gm,erker_v15ib,,text,6.3.4B Sekundärdiagnose [ICD10-GM],,"Bitte nur ICD-10GM Code (ohne Anführungszeichen) angeben, z.B.: ""E66.8""",,,,,"[sct_85097005_3_icd10gm] <> """"",,,,,,"Variable:
SCT: 439401001 | Diagnosis (observable entity) | : 410657003 | Type (attribute) | = 85097005 | Secondary diagnosis (contextual qualifier) (qualifier value) |, 278201002 | Classification (attribute) | = 447562003 | SNOMED CT to International Classification of Diseases tenth revision extended map reference set (foundation metadata concept) |
+ ""_4"" | fourth secondary diagnosis"
sct_85097005_4_date,erker_v15ib,,text,6.3.4C Sekundärdiagnose - Feststellungsdatum,,,date_ymd,,,,"[sct_85097005_3_icd10gm] <> """"",,,,,,"Variable:
SCT: 439401001 | Diagnosis (observable entity) | : 410657003 | Type (attribute) | = 85097005 | Secondary diagnosis (contextual qualifier) (qualifier value) |, 410671006 | Date (attribute) | = 69836002 | Determinate (qualifier value) |
+ ""_4"" | fourth secondary diagnosis"
sct_85097005_5_orpha,erker_v15ib,,text,6.3.5A Sekundärdiagnose [ORPHA],BIOPORTAL:ORDO,,,,,,"[sct_85097005_4_icd10gm] <> """"",,,,,,"Variable:
SCT: 439401001 | Diagnosis (observable entity) | : 410657003 | Type (attribute) | = 85097005 | Secondary diagnosis (contextual qualifier) (qualifier value) |, 278201002 | Classification (attribute) | = 784008009 | SNOMED CT to Orphanet simple map reference set (foundation metadata concept) |
+ ""_5"" | fifth secondary diagnosis"
sct_85097005_5_icd10gm,erker_v15ib,,text,6.3.5B Sekundärdiagnose [ICD10-GM],,"Bitte nur ICD-10GM Code (ohne Anführungszeichen) angeben, z.B.: ""E66.8""",,,,,"[sct_85097005_4_icd10gm] <> """"",,,,,,"Variable:
SCT: 439401001 | Diagnosis (observable entity) | : 410657003 | Type (attribute) | = 85097005 | Secondary diagnosis (contextual qualifier) (qualifier value) |, 278201002 | Classification (attribute) | = 447562003 | SNOMED CT to International Classification of Diseases tenth revision extended map reference set (foundation metadata concept) |
+ ""_5"" | fifth secondary diagnosis"
sct_85097005_5_date,erker_v15ib,,text,6.3.5C Sekundärdiagnose - Feststellungsdatum,,,date_ymd,,,,"[sct_85097005_4_icd10gm] <> """"",,,,,,"Variable:
SCT: 439401001 | Diagnosis (observable entity) | : 410657003 | Type (attribute) | = 85097005 | Secondary diagnosis (contextual qualifier) (qualifier value) |, 410671006 | Date (attribute) | = 69836002 | Determinate (qualifier value) |
+ ""_5"" | fifth secondary diagnosis"
sct_85097005_6_orpha,erker_v15ib,,text,6.3.6A Sekundärdiagnose [ORPHA],BIOPORTAL:ORDO,,,,,,"[sct_85097005_5_icd10gm] <> """"",,,,,,"Variable:
SCT: 439401001 | Diagnosis (observable entity) | : 410657003 | Type (attribute) | = 85097005 | Secondary diagnosis (contextual qualifier) (qualifier value) |, 278201002 | Classification (attribute) | = 784008009 | SNOMED CT to Orphanet simple map reference set (foundation metadata concept) |
+ ""_6"" | sixth secondary diagnosis"
sct_85097005_6_icd10gm,erker_v15ib,,text,6.3.6B Sekundärdiagnose [ICD10-GM],,"Bitte nur ICD-10GM Code (ohne Anführungszeichen) angeben, z.B.: ""E66.8""",,,,,"[sct_85097005_5_icd10gm] <> """"",,,,,,"Variable:
SCT: 439401001 | Diagnosis (observable entity) | : 410657003 | Type (attribute) | = 85097005 | Secondary diagnosis (contextual qualifier) (qualifier value) |, 278201002 | Classification (attribute) | = 447562003 | SNOMED CT to International Classification of Diseases tenth revision extended map reference set (foundation metadata concept) |
+ ""_6"" | sixth secondary diagnosis"
sct_85097005_6_date,erker_v15ib,,text,6.3.6C Sekundärdiagnose - Feststellungsdatum,,,date_ymd,,,,"[sct_85097005_5_icd10gm] <> """"",,,,,,"Variable:
SCT: 439401001 | Diagnosis (observable entity) | : 410657003 | Type (attribute) | = 85097005 | Secondary diagnosis (contextual qualifier) (qualifier value) |, 410671006 | Date (attribute) | = 69836002 | Determinate (qualifier value) |
+ ""_6"" | sixth secondary diagnosis"
sct_85097005_7_orpha,erker_v15ib,,text,6.3.7A Sekundärdiagnose [ORPHA],BIOPORTAL:ORDO,,,,,,"[sct_85097005_6_icd10gm] <> """"",,,,,,"Variable:
SCT: 439401001 | Diagnosis (observable entity) | : 410657003 | Type (attribute) | = 85097005 | Secondary diagnosis (contextual qualifier) (qualifier value) |, 278201002 | Classification (attribute) | = 784008009 | SNOMED CT to Orphanet simple map reference set (foundation metadata concept) |
+ ""_7"" | seventh secondary diagnosis"
sct_85097005_7_icd10gm,erker_v15ib,,text,6.3.7B Sekundärdiagnose [ICD10-GM],,"Bitte nur ICD-10GM Code (ohne Anführungszeichen) angeben, z.B.: ""E66.8""",,,,,"[sct_85097005_6_icd10gm] <> """"",,,,,,"Variable:
SCT: 439401001 | Diagnosis (observable entity) | : 410657003 | Type (attribute) | = 85097005 | Secondary diagnosis (contextual qualifier) (qualifier value) |, 278201002 | Classification (attribute) | = 447562003 | SNOMED CT to International Classification of Diseases tenth revision extended map reference set (foundation metadata concept) |
+ ""_7"" | seventh secondary diagnosis"
sct_85097005_7_date,erker_v15ib,,text,6.3.7C Sekundärdiagnose - Feststellungsdatum,,,date_ymd,,,,"[sct_85097005_6_icd10gm] <> """"",,,,,,"Variable:
SCT: 439401001 | Diagnosis (observable entity) | : 410657003 | Type (attribute) | = 85097005 | Secondary diagnosis (contextual qualifier) (qualifier value) |, 410671006 | Date (attribute) | = 69836002 | Determinate (qualifier value) |
+ ""_7"" | seventh secondary diagnosis"
sct_85097005_8_orpha,erker_v15ib,,text,6.3.8A Sekundärdiagnose [ORPHA],BIOPORTAL:ORDO,,,,,,"[sct_85097005_7_icd10gm] <> """"",,,,,,"Variable:
SCT: 439401001 | Diagnosis (observable entity) | : 410657003 | Type (attribute) | = 85097005 | Secondary diagnosis (contextual qualifier) (qualifier value) |, 278201002 | Classification (attribute) | = 784008009 | SNOMED CT to Orphanet simple map reference set (foundation metadata concept) |
+ ""_8"" | eigth secondary diagnosis"
sct_85097005_8_icd10gm,erker_v15ib,,text,6.3.8B Sekundärdiagnose [ICD10-GM],,"Bitte nur ICD-10GM Code (ohne Anführungszeichen) angeben, z.B.: ""E66.8""",,,,,"[sct_85097005_7_icd10gm] <> """"",,,,,,"Variable:
SCT: 439401001 | Diagnosis (observable entity) | : 410657003 | Type (attribute) | = 85097005 | Secondary diagnosis (contextual qualifier) (qualifier value) |, 278201002 | Classification (attribute) | = 447562003 | SNOMED CT to International Classification of Diseases tenth revision extended map reference set (foundation metadata concept) |
+ ""_8"" | eigth secondary diagnosis"
sct_85097005_8_date,erker_v15ib,,text,6.3.8C Sekundärdiagnose - Feststellungsdatum,,,date_ymd,,,,"[sct_85097005_7_icd10gm] <> """"",,,,,,"Variable:
SCT: 439401001 | Diagnosis (observable entity) | : 410657003 | Type (attribute) | = 85097005 | Secondary diagnosis (contextual qualifier) (qualifier value) |, 410671006 | Date (attribute) | = 69836002 | Determinate (qualifier value) |
+ ""_8"" | eigth secondary diagnosis"
sct_85097005_9_orpha,erker_v15ib,,text,6.3.9A Sekundärdiagnose [ORPHA],BIOPORTAL:ORDO,,,,,,"[sct_85097005_8_icd10gm] <> """"",,,,,,"Variable:
SCT: 439401001 | Diagnosis (observable entity) | : 410657003 | Type (attribute) | = 85097005 | Secondary diagnosis (contextual qualifier) (qualifier value) |, 278201002 | Classification (attribute) | = 784008009 | SNOMED CT to Orphanet simple map reference set (foundation metadata concept) |
+ ""_9"" | ninth secondary diagnosis"
sct_85097005_9_icd10gm,erker_v15ib,,text,6.3.9B Sekundärdiagnose [ICD10-GM],,"Bitte nur ICD-10GM Code (ohne Anführungszeichen) angeben, z.B.: ""E66.8""",,,,,"[sct_85097005_8_icd10gm] <> """"",,,,,,"Variable:
SCT: 439401001 | Diagnosis (observable entity) | : 410657003 | Type (attribute) | = 85097005 | Secondary diagnosis (contextual qualifier) (qualifier value) |, 278201002 | Classification (attribute) | = 447562003 | SNOMED CT to International Classification of Diseases tenth revision extended map reference set (foundation metadata concept) |
+ ""_9"" | ninth secondary diagnosis"
sct_85097005_9_date,erker_v15ib,,text,6.3.9C Sekundärdiagnose - Feststellungsdatum,,,date_ymd,,,,"[sct_85097005_8_icd10gm] <> """"",,,,,,"Variable:
SCT: 439401001 | Diagnosis (observable entity) | : 410657003 | Type (attribute) | = 85097005 | Secondary diagnosis (contextual qualifier) (qualifier value) |, 410671006 | Date (attribute) | = 69836002 | Determinate (qualifier value) |
+ ""_9"" | ninth secondary diagnosis"
